id;street_address;postal_code;city;country
1;trop peu avant de;hôte corps enseignant hors;Marseille;Sénégal
2;à condition que parmi malade;quasiment priver;Brest;Bulgarie
3;cocorico approximativement entre;lors de partir foule;Le Tampon;Haïti
4;recta prout guide;ding célébrer adversaire;Vitry-sur-Seine;Libye
5;ouf;moins pourpre juriste;Noisy-le-Grand;Malawi
6;puis;au-dessus de infime;Mulhouse;Panama
7;tandis que plouf hé;concernant adorable à la faveur de;Lorient;Argentine
8;entièrement actionnaire téméraire;administration du fait que;Amiens;Burundi
9;police fabriquer plouf;trop près;Rouen;Nauru
10;camarade au cas où;guide de façon que;Le Tampon;Zambie
