id;label;upload_date;issuing_date;expiration_date;file;file_content_type
1;différer;2024-05-03T07:11:47;2024-05-03T15:16:54;2024-05-03T14:41:06;../fake-data/blob/hipster.png;image/png
2;assez;2024-05-03T14:24:25;2024-05-03T04:18:07;2024-05-03T07:06:22;../fake-data/blob/hipster.png;image/png
3;coin-coin;2024-05-03T20:14:15;2024-05-03T02:46:17;2024-05-03T19:24:10;../fake-data/blob/hipster.png;image/png
4;actionnaire;2024-05-03T14:46:04;2024-05-03T04:56:50;2024-05-03T04:52:07;../fake-data/blob/hipster.png;image/png
5;pratiquer encore prout;2024-05-03T04:40:44;2024-05-03T02:07:47;2024-05-03T10:36:26;../fake-data/blob/hipster.png;image/png
6;dès que ah clac;2024-05-03T07:22:03;2024-05-03T16:30:37;2024-05-03T19:25:28;../fake-data/blob/hipster.png;image/png
7;de crainte que;2024-05-03T07:47:07;2024-05-03T19:39:25;2024-05-03T06:18:45;../fake-data/blob/hipster.png;image/png
8;rudement après que snob;2024-05-03T12:54:46;2024-05-03T20:50:30;2024-05-03T01:01:27;../fake-data/blob/hipster.png;image/png
9;snif diplomate souvent;2024-05-03T13:23:57;2024-05-03T01:13:24;2024-05-03T06:28:45;../fake-data/blob/hipster.png;image/png
10;créer par;2024-05-02T23:29:49;2024-05-03T12:06:12;2024-05-03T20:22:57;../fake-data/blob/hipster.png;image/png
