id;name;company_status;logo;logo_content_type;siret;siren;sales_tax_number;iban;bic_swift;website;default_invoice_terms
1;y solitaire paf;conseil municipal par suite de;../fake-data/blob/hipster.png;image/png;spécialiste subsister;simple hier sauf;administration turquoise infime;TR076200122930090808667004;broum;de façon à atchoum;épargner antagoniste drelin
2;considérable après au-dessous de;durant camarade euh;../fake-data/blob/hipster.png;image/png;en;débile autant;avertir autour spécialiste;SA5603XB364XJ047235W9226;lectorat moderne émérite;protéger commis de cuisine;mesurer de crainte que
3;hé;nier soulager chez;../fake-data/blob/hipster.png;image/png;bien;sale;réclamer membre à vie;KW12MTHA9806K5K96VA19069518776;gens lunatique équipe de recherche;conformer si;enfin confondre
4;large;également;../fake-data/blob/hipster.png;image/png;innombrable;dans;oh;AE051290021920029750095;mieux aux environs de;ah;alors que
5;envers;quitte à;../fake-data/blob/hipster.png;image/png;sans lectorat;police enfin tandis que;avant que;DK0340012234026270;à la merci;accentuer corps enseignant tantôt;énergique
6;jusqu’à ce que;de sorte que ouille;../fake-data/blob/hipster.png;image/png;ci contrarier du moment que;tout à fait dépendre nonobstant;malgré si bien que toc-toc;XK172539028007001286;pin-pon cocher;vlan;alors que
7;magnifique grrr;administration pff;../fake-data/blob/hipster.png;image/png;par;bien que rose;vroum décrire assez;FR698871608576540629836F571;près tendre;oui du moment que insipide;entièrement avant-hier
8;partout;trop peu affronter;../fake-data/blob/hipster.png;image/png;porte-parole athlète;malade toujours;main-d’œuvre membre à vie prestataire de services;BA092500895012540083;varier paf zzzz;vu que commis de cuisine glouglou;dès multiple
9;envers spécialiste candide;de peur que répartir;../fake-data/blob/hipster.png;image/png;rapide souvent;pour que financer;rédaction communauté étudiante;LI6783514257350D346AT;tout à fait juriste;là partenaire sus;diététiste quant à devant
10;élargir si clientèle;effondrer camper;../fake-data/blob/hipster.png;image/png;juriste groin groin espiègle;de crainte que vu que police;psitt hebdomadaire;MU91PQHO0913364052504060075TUF;drelin avant que si;infime simple de peur que;sédentaire
