id;label;description;amount;currency;tax;expense_date;rebillable_to_client;comment;submit_date;validation_date
1;suffisamment;police patientèle;29870.57;aussitôt retarder;19330.98;2024-05-03;true;à moins de outre biathlète;2024-05-03T09:06:20;2024-05-03T15:07:19
2;direction boucher;tant espiègle;6866.05;à l'encontre de en outre de;20908.7;2024-05-03;true;en faveur de cot cot;2024-05-03T03:24:45;2024-05-02T21:17:38
3;désagréable;aux environs de;2446.69;ouah;26840.86;2024-05-03;true;électorat attaquer;2024-05-03T13:47:34;2024-05-03T02:15:02
4;contre entrevoir porte-parole;grandement de si;7906.71;au cas où;18500.76;2024-05-03;true;à condition que;2024-05-03T00:18:23;2024-05-03T09:51:51
5;ronron autant;carrément après que;28311.71;peut-être;20865.43;2024-05-03;false;diplomate;2024-05-03T05:55:58;2024-05-02T21:23:33
6;afin de si;lentement jusqu’à ce que;27202.48;ci isoler d’autant que;24890.75;2024-05-03;false;articuler;2024-05-03T10:50:23;2024-05-03T12:31:53
7;aussitôt que communauté étudiante soudain;équipe de recherche sans que tsoin-tsoin;10208.02;a toc craquer;23611.52;2024-05-03;true;fidèle clientèle;2024-05-03T00:53:11;2024-05-03T19:29:15
8;d’autant que;à l'égard de saluer;27768.03;grrr sans que dring;18299.83;2024-05-03;false;snif partout triathlète;2024-05-03T00:13:43;2024-05-03T17:36:58
9;à demi du moment que à la faveur de;tant que;26585.62;restaurer;28895.49;2024-05-03;true;au-dessous commissionnaire;2024-05-03T02:53:40;2024-05-03T13:21:15
10;exagérer;environ;30219.34;même si puisque;8254.06;2024-05-03;false;conclure combien;2024-05-03T01:35:37;2024-05-03T01:40:40
