id;label;concerned_month;creation_date;submit_date;validation_date
1;avoir;dring rapprocher parlementaire;2024-05-03;2024-05-03T14:17:16;2024-05-03T02:15:27
2;infime;vraisemblablement;2024-05-02;2024-05-03T09:20:23;2024-05-03T06:41:25
3;prestataire de services;étant donné que;2024-05-03;2024-05-03T11:12:14;2024-05-03T16:50:15
4;devant d'après;cuicui;2024-05-03;2024-05-03T01:45:56;2024-05-03T05:34:08
5;âcre;ha ha;2024-05-02;2024-05-03T07:45:16;2024-05-03T06:59:51
6;alentour oui;sans au-delà;2024-05-03;2024-05-02T23:37:48;2024-05-03T12:10:59
7;proche grâce à;plutôt au dépens de;2024-05-03;2024-05-03T05:21:21;2024-05-03T01:54:55
8;de la part de pendant;guide;2024-05-03;2024-05-03T15:31:15;2024-05-03T13:21:44
9;commis;dans;2024-05-03;2024-05-03T03:46:32;2024-05-03T17:34:51
10;paf en plus de cultiver;sauf à pacifique;2024-05-03;2024-05-03T14:29:43;2024-05-03T16:26:34
