id;label;description;reimbursment_pct
1;bzzz;dans suivant autour;30541.96
2;malgré;ouch lorsque;3975.27
3;dénoncer;bon;24546.14
4;outre;sympathique cot cot envers;9645.77
5;tsoin-tsoin ronron juriste;d'après partenaire en outre de;11098.43
6;durant;encore affable;6065
7;lunatique à la merci;prout;23314.55
8;en faveur de au lieu de naguère;coin-coin collègue d’autant que;32619.2
9;tellement envers touriste;croâ dans la mesure où à l'instar de;18259.75
10;patientèle dans la mesure où;bon demain;23712.02
