id;invoice_number;label;issue_date;currency;sales_tax_pct;terms
1;au point que glouglou;fade circulaire même si;2024-05-03T10:24:30;concentrer;32707.85;ah
2;grandement;énorme avex progresser;2024-05-03T04:24:46;gigantesque de sorte que;14057.84;ding calme
3;efficace;triste aussitôt que;2024-05-02T22:57:32;toc insolite de façon à;23690.56;d’autant que
4;avare ouille conseil municipal;circulaire tout touriste;2024-05-03T14:24:48;tellement au point que personnel;24576;chef de cuisine sursauter
5;caractériser gens candide;commettre essayer;2024-05-03T04:39:33;croâ au-dehors;31143.06;commis
6;presque mince;avare commissionnaire;2024-05-03T13:14:14;proche;24466.7;près ha
7;oups;atchoum au-delà;2024-05-03T15:08:23;parce que;4990.32;de crainte que avancer lâche
8;ci;meuh;2024-05-02T21:29:03;aussitôt que gestionnaire à l'exception de;14168.69;pencher équipe de recherche psitt
9;assez;disperser totalement;2024-05-03T04:43:43;parlementaire;3765.55;calme
10;secours sursauter;diététiste d’autant que;2024-05-03T17:53:19;de façon que puisque fidèle;17011.76;alors que autrefois cependant
