id;label;description;price;quantity
1;accéder;diminuer boum;29370.41;13101.68
2;quasi prestataire de services pendant que;au-dessus prestataire de services;1022.71;12492.31
3;répartir;entraîner juriste;7354.78;30804.69
4;en outre de en bas de à peu près;déshabiller;13922.75;16363.9
5;paf vlan;nommer être secours;29857.56;31650.13
6;au prix de bon aussitôt que;intrépide;30012.89;28157.48
7;de façon que entre avant-hier;jeune enfant gai rapide;10885.96;1897.61
8;gestionnaire ouille rencontrer;si;4476.95;858.05
9;après miaou;envers population du Québec tard;32615.23;16954.89
10;miam à seule fin de;tant que excéder tant;3353.81;4455.56
