id;title;description;creation_date;read_date;hide
1;étant donné que zzzz à travers;aïe au lieu de;2024-05-03T05:08:09;2024-05-03T07:04:42;false
2;projeter renvoyer impromptu;à peu près;2024-05-03T19:39:06;2024-05-03T06:02:01;false
3;en outre de porte-parole habile;trop peu;2024-05-03T02:49:31;2024-05-03T14:59:10;true
4;tant;foule plus;2024-05-03T07:51:03;2024-05-03T18:06:20;false
5;craindre carrément drelin;compenser;2024-05-03T07:01:05;2024-05-03T11:24:32;true
6;déjà profiter derrière;sur jeune enfant glouglou;2024-05-03T19:35:22;2024-05-03T19:56:32;true
7;avant de aussitôt que diététiste;au défaut de outre;2024-05-03T03:29:22;2024-05-03T13:21:58;true
8;pour;miaou rêver;2024-05-03T11:10:36;2024-05-03T08:23:11;false
9;consommer;triathlète tellement sauf à;2024-05-03T17:06:48;2024-05-03T05:09:51;false
10;étant donné que personnel vers;vanter rapide;2024-05-03T13:27:26;2024-05-03T00:57:50;false
