id;super_gross_salary;gross_salary;net_salary;tax_rate;amount_paid;total_expenses
1;23685.79;14920.47;10740.84;20536.49;10493.91;4528.66
2;19489.86;21134.36;3546.85;518.7;24304.56;30631.63
3;17803.05;28925.81;4310.68;30598.99;24716.22;26469.41
4;25069.19;23192.49;28791.81;31361.5;6206.34;2882.09
5;2910.64;27051.58;4069.36;18487.69;21511.51;22207.83
6;32685.48;27036.95;8610.86;10061.76;25960.65;15912
7;27009.71;5741.43;15544.98;696.99;16209.94;12566.14
8;20415.04;19682.58;18690.73;10682.89;13205.27;19190.92
9;1272.59;32138.92;10424.06;24718.13;22286.93;12379.51
10;11111.26;7769.07;5930.12;10950.46;19108.37;11551.49
