id;type;state;title;description;daily_rate;start_date;end_date;remote_work_pct
1;NONBILLABLE;STANDBY;extatique;énergique;13027;2024-05-03;2024-05-03;30987.46
2;BILLABLE;STANDBY;sale;hier administration;20974;2024-05-02;2024-05-03;20422.86
3;NONBILLABLE;ARCHIVED;athlète;vaincre;24793;2024-05-03;2024-05-02;19787.07
4;NONBILLABLE;STANDBY;concernant dynamique à même;de manière à ce que fonctionnaire membre du personnel;7545;2024-05-03;2024-05-02;17881.96
5;NONBILLABLE;ARCHIVED;élever totalement via;de peur que membre titulaire;16014;2024-05-03;2024-05-03;28414.82
6;BILLABLE;STANDBY;guetter par;capter jeune de peur que;5285;2024-05-03;2024-05-03;3810.26
7;BILLABLE;CURRENT;étaler;au cas où drôlement;28442;2024-05-03;2024-05-03;32117.35
8;BILLABLE;STANDBY;oh dring;à partir de quasi au point que;7498;2024-05-03;2024-05-03;25960.24
9;BILLABLE;CURRENT;croâ;membre à vie;12236;2024-05-03;2024-05-03;6536.52
10;NONBILLABLE;CURRENT;apparemment à la faveur de badaboum;personnel professionnel tant debout;29725;2024-05-03;2024-05-03;3013.95
