id;daily_rate;monthly_expenses;tax_rate;expected_start_date;expected_client;notes
1;30564;27951;7161.19;2024-05-03;zzzz;troubler
2;31104;7059;14563.76;2024-05-03;intrépide hormis;assassiner foule ainsi
3;6968;15822;12485.84;2024-05-03;sympathique biathlète;bof
4;19609;14024;27443.42;2024-05-02;parlementaire;miaou alors à travers
5;11986;9843;30345.67;2024-05-03;âcre tchou tchouu extatique;spécialiste trop
6;14805;24144;16469.36;2024-05-03;présidence au prix de;ouah si bien que
7;10259;33;12415.42;2024-05-03;d'entre équipe de recherche;spécialiste tchou tchouu
8;23500;17714;24237.76;2024-05-03;ferme subsister moins;souple
9;375;1441;19614.05;2024-05-03;membre du personnel;sitôt sans tôt
10;15766;23337;16674.28;2024-05-02;touriste;chef de cuisine
