id;service_label;daily_rate;start_date;end_date;extension_terms;signed_by_supplier;signed_by_client
1;quand au dépens de reconnaître;22922.84;2024-05-03;2024-05-03;plus;false;false
2;sitôt que;20999.1;2024-05-02;2024-05-02;hôte au-delà;true;true
3;où;21921.99;2024-05-03;2024-05-03;jusqu’à ce que;true;true
4;diététiste sans que;8088.5;2024-05-03;2024-05-03;lunatique;false;false
5;population du Québec;30824.77;2024-05-03;2024-05-03;pas mal précisément pschitt;true;true
6;quelque timide durant;29669.54;2024-05-03;2024-05-03;sitôt que;false;false
7;mature délivrer;20050.38;2024-05-03;2024-05-03;préoccuper tout;true;true
8;snob gâcher accumuler;27210.66;2024-05-03;2024-05-03;perplexe;true;false
9;pin-pon éloigner si;9104.55;2024-05-03;2024-05-03;énergique contre jeune;true;true
10;d'avec croâ athlète;27947.94;2024-05-03;2024-05-02;dans pleurer lorsque;false;true
