id;concerned_month;creation_date;submit_date;validation_date
1;peut-être au point que ouille;2024-05-03;2024-05-03T06:38:54;2024-05-03T13:26:04
2;sans doute main-d’œuvre;2024-05-03;2024-05-03T06:19:03;2024-05-03T15:47:57
3;égoïste supprimer;2024-05-03;2024-05-02T23:54:19;2024-05-02T21:08:06
4;insolite corps enseignant pauvre;2024-05-03;2024-05-03T15:18:12;2024-05-03T07:05:55
5;dans la mesure où;2024-05-03;2024-05-03T11:05:11;2024-05-03T08:58:17
6;calculer;2024-05-03;2024-05-03T01:52:11;2024-05-02T23:38:28
7;vroum;2024-05-03;2024-05-03T04:34:42;2024-05-03T00:25:57
8;membre à vie au-dessus antique;2024-05-03;2024-05-03T13:23:28;2024-05-03T15:16:53
9;adorable;2024-05-03;2024-05-03T09:03:04;2024-05-03T00:01:51
10;insolite trop peu direction;2024-05-03;2024-05-03T03:28:06;2024-05-03T16:22:51
